taxonID,identity_at_least_86.5,Assembly_Accession,copy_number,genome_size_Mb,genome_size_bp,log10_cell_mass_g,cell_mass_g
0055d42e9c8d59e9b5c6b70420b5f1ba,95.618,GCA_000013385.1,2,5.01348,5013480,-11.24941964,5.63E-12
005e908535cb87814db8b76f5a96e901,96.813,GCA_000023105.1,2,4.66918,4669180,-11.3781641,4.19E-12
0063089860945b54f6dda8e258a8af4b,98.008,GCA_002749615.1,2,4.57726,4577260,-11.41414341,3.85E-12
006726c40fd926bb76f37beac31d9fa8,96.032,GCA_002119765.1,1,5.97161,5971610,-10.93295235,1.17E-11
007aaf5937988b075b484381fd1ec164,99.203,GCA_002151545.1,4,6.18207,6182070,-10.87027534,1.35E-11
007f6fc07816245da897fb352e122387,96.414,GCA_002752655.1,3,5.18343,5183430,-11.18909484,6.47E-12
00820393adad6126427357e8a863e07f,97.211,GCA_003330725.1,1,7.60073,7600730,-10.49643623,3.19E-11
008797ab1ac554e0decb2890126cc3dc,96.429,GCA_003074035.1,2,3.77264,3772640,-11.76397765,1.72E-12
00912931217fd44bb32367cb123de6c0,99.602,GCA_002285475.1,7,4.59898,4598980,-11.405577,3.93E-12
00963bcac17cd8cd2127b7a22987d8dc,97.61,GCA_002355435.1,2,6.3439,6343900,-10.8235153,1.50E-11
0096e698a24300539f6311c3158d2dc7,98.406,GCA_001679725.1,3,4.35123,4351230,-11.50578317,3.12E-12
009aee7dbfc78680f477b7053e26e05c,95.618,GCA_003030345.1,1,8.33396,8333960,-10.32978578,4.68E-11
009be16cab6989819d2dc1f96e4100a3,97.233,GCA_001017435.1,3,6.47615,6476150,-10.78617959,1.64E-11
009daa4c9270fa42a3d9024b9c1f8c6f,96.016,GCA_001644645.1,3,5.94086,5940860,-10.94229451,1.14E-11
00a1e4497dcd64ec1bbae3794682e49f,99.206,GCA_000196675.1,3,7.30399,7303990,-10.56849929,2.70E-11
00a1ee1466648ec312f65b9a47edfc37,95.618,GCA_001602455.1,2,3.38709,3387090,-11.95905526,1.10E-12
00a5be4a3fc4d805dc9204e649f906e8,98.406,GCA_000284295.1,6,8.77347,8773470,-10.23678585,5.80E-11
00a8b1062a2132bfc97572ebc1a36561,97.61,GCA_003355005.1,2,3.76154,3761540,-11.76930965,1.70E-12
00abecbfe0dff9019d2595e1a0cc1e2e,96.016,GCA_000255295.1,3,10.0806,10080600,-9.985473407,1.03E-10
00b20fea01416fde1468ee4d85a71d8e,96.016,GCA_002128305.1,5,6.28798,6287980,-10.83953687,1.45E-11
00b2385568d64231a0784ccf187905ef,96.813,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
00b30533c2946988d72875640fe78a77,98.008,GCA_003330725.1,1,7.60073,7600730,-10.49643623,3.19E-11
00b9f52e38193668ba8b84907b822725,96.016,GCA_000018005.1,3,8.98204,8982040,-10.1942709,6.39E-11
00ce7fc93335974d6cf7230e65bff69c,99.203,GCA_000284375.1,2,9.20738,9207380,-10.14943305,7.09E-11
00cee1d1bcfdacd25a6ef7e84f7650f9,96.429,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
00dfa666fc37b2d0565e8cfd51d86e66,95.618,GCA_002863805.1,3,3.19238,3192380,-12.06618924,8.59E-13
00e2c6d9221057be7028d0b9c1589e31,95.6,GCA_000511405.1,8,4.05601,4056010,-11.63292076,2.33E-12
00e66238c0ef3c88aef31fd1a038b526,96.429,GCA_001590605.1,6,5.95054,5950540,-10.93934842,1.15E-11
00e89c7dc1efb4a7f17e0357eb845032,99.602,GCA_003860565.1,2,2.75956,2759560,-12.329834,4.68E-13
00e9b5b303f634f917b09378f8ea0799,98.805,GCA_000016765.1,2,5.91525,5915250,-10.95011207,1.12E-11
00f427cdeab10ed06a04ca307077e593,98.406,GCA_000348725.1,1,2.65789,2657890,-12.39776249,4.00E-13
00f562f9bb991fc911fa224f3646c4c5,95.618,GCA_001499655.1,4,3.03037,3030370,-12.16043476,6.91E-13
00f76abf4b7712ed83d7e6bc5f01fa44,99.602,GCA_000747345.1,12,3.42267,3422670,-11.94014572,1.15E-12
00f846db58ee922181eb435e66f8e889,99.203,GCA_001610855.1,3,9.04542,9045420,-10.18154693,6.58E-11
00ff8b8cb6c3ee6aa352c75902db6268,96.414,GCA_001602455.1,2,3.38709,3387090,-11.95905526,1.10E-12
010256bc28a84360498d1a9b06757dec,95.618,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
010280a627658b1eade939fd43bb950f,98.805,GCA_000220705.2,6,7.13789,7137890,-10.61012562,2.45E-11
01039256ea89bbed4c44439618db63a1,98.008,GCA_000023105.1,2,4.66918,4669180,-11.3781641,4.19E-12
010906c34638a80d3303e9f15227226a,97.211,GCA_000522985.1,2,7.47921,7479210,-10.52560114,2.98E-11
010a74242569926bef8c78b979912c9d,98.406,GCA_002002925.1,2,4.15551,4155510,-11.58906528,2.58E-12
01100c8085f83fc2c5be5c6b8769b353,96.016,GCA_000243115.3,2,4.69734,4697340,-11.36728335,4.29E-12
0116f979b31e484fe883fa7c32094bfb,97.211,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
011dc9bf0abac83b57d3d9e8f4e6a884,96.016,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
013587fbb6a4757993f34e59208c8695,96.414,GCA_001596135.1,3,5.61802,5618020,-11.043403,9.05E-12
013e3a78d7f2bc7e5f9c48c828a5aa0e,95.618,GCA_001602455.1,2,3.38709,3387090,-11.95905526,1.10E-12
01531d063928cde0bff8be0b028efc74,96.813,GCA_002355515.1,5,5.94388,5943880,-10.94137486,1.14E-11
01589c90ae218f518129e56a11e2d15c,95.618,GCA_002749615.1,2,4.57726,4577260,-11.41414341,3.85E-12
0158b696230a1b3bda6a863afd55ca8c,100,GCA_000070465.1,3,3.73225,3732250,-11.78345531,1.65E-12
015caa163c40e41041ced6b4f66f2b29,96.414,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
015e7a478d1594b23d615aae803116b6,98.805,GCA_001273775.1,1,4.58948,4589480,-11.40931883,3.90E-12
0160350e185ec5a710689064f2027d7d,96.016,GCA_000165485.1,2,10.2608,10260800,-9.953411573,1.11E-10
016325486601596e00a13884802210b3,98.406,GCA_002868735.1,4,6.04878,6048780,-10.90971755,1.23E-11
0169658855cee2a87d4100b440768a39,95.618,GCA_000166135.1,3,8.81578,8815780,-10.22808023,5.91E-11
0171868eab1ff7ca3b3821583b189b9c,97.61,GCA_001439585.2,11,3.66484,3664840,-11.81643742,1.53E-12
0178196fdb2c0b38296d117893eb6143,100,GCA_000014565.1,4,9.70274,9702740,-10.05460669,8.82E-11
0178389bbad9a9a80b7dfc858b31513c,98.805,GCA_000016425.1,3,5.18333,5183330,-11.18912975,6.47E-12
017963f022cbcb286cc0fbd9ac5af303,97.211,GCA_002355595.1,5,7.8144,7814400,-10.44626818,3.58E-11
017ba943d38992fd0ee52c3474f2a5ec,98.008,GCA_000015725.1,1,4.64364,4643640,-11.3880894,4.09E-12
017e9060cf38f99cbeb9354e6215878e,95.618,GCA_000166135.1,3,8.81578,8815780,-10.22808023,5.91E-11
018366d0adcac5f817587c7c29fda564,99.203,GCA_002355875.1,5,6.99793,6997930,-10.64596003,2.26E-11
0189392ebfca3e72533e9d0ba682da3d,96.813,GCA_001642655.1,6,3.13444,3134440,-12.0993335,7.96E-13
018992e97d89bbe7bbae0584d29789ed,98.805,GCA_000255295.1,3,10.0806,10080600,-9.985473407,1.03E-10
018b384a3023253c93874b88777bfb98,99.203,GCA_003028855.1,7,6.33749,6337490,-10.82534464,1.50E-11
018df1a3868c95cd8f9271ad3fedce8b,98.805,GCA_001653935.1,3,5.98776,5987760,-10.92806506,1.18E-11
018e02360f28b3c550b92478c846c148,98.406,GCA_000785495.1,2,5.63736,5637360,-11.03718429,9.18E-12
01960f901c9afda63a429decd1c52641,99.602,GCA_000012405.1,4,3.64225,3642250,-11.82762603,1.49E-12
019b34bd15000abf029154e925cde5c8,96.016,GCA_000243115.3,2,4.69734,4697340,-11.36728335,4.29E-12
01a1905ba50d09e7c0d9dda0d83b2264,99.602,GCA_000092025.1,4,5.67426,5674260,-11.0253782,9.43E-12
01a30dc9d2b779a9580eed55cb0569e7,99.203,GCA_002220095.1,2,5.83839,5838390,-10.97377874,1.06E-11
01a46b18393e87fea9648cb4e3de498a,99.6,GCA_002005185.1,4,2.17852,2178520,-12.7576602,1.75E-13
01a5b5a0fccf4fadf4bac2827671b228,95.618,GCA_003855495.1,1,4.20968,4209680,-11.56562882,2.72E-12
01a692312ef8386acbaa58b01c445b55,100,GCA_000017145.1,3,6.81758,6817580,-10.69320732,2.03E-11
01a9f1a5d824fa5cf0ac76383a2544e1,96.748,GCA_001618865.1,1,7.48031,7480310,-10.52533502,2.98E-11
01ae8460fb58985cb53efe215b960eda,96.429,GCA_000389965.1,4,9.22805,9228050,-10.14537525,7.16E-11
01b235b39b08f8f56a0e8570fcc2b884,96.813,GCA_001548155.2,3,3.72663,3726630,-11.78618218,1.64E-12
01bbec2bdc636950d8a6df18200ad620,98.406,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
01bf98805496ac2387da10702bdedd31,96.016,GCA_000155735.2,2,5.47825,5478250,-11.0889923,8.15E-12
01c4de54f5bed99c9062c69152c68148,99.602,GCA_002073635.2,3,4.82961,4829610,-11.31703307,4.82E-12
01c6d5603268f13ba5e9d0b049c1051d,99.602,GCA_000284275.1,1,7.23184,7231840,-10.5864633,2.59E-11
01c76e0499159c7f41bd686b2bf02e2e,96.016,GCA_001596155.1,3,5.45125,5451250,-11.09793292,7.98E-12
01cae95905ab428f05ab25ae6d2865fe,96.032,GCA_002355735.1,1,2.86467,2864670,-12.26218917,5.47E-13
01d30d63db99aaca39c9de16c07e753a,100,GCA_000023385.1,10,3.5088,3508800,-11.89517244,1.27E-12
01d4def79a5a9919a690df8a472e380f,99.602,GCA_000009045.1,10,4.21561,4215610,-11.56308156,2.73E-12
01db44dc5915908770b931f03a0c875c,96.825,GCA_001442785.1,2,6.39189,6391890,-10.80987795,1.55E-11
01de0e480fc155c8daf9f7adec1fd234,99.203,GCA_000008185.1,2,2.8432,2843200,-12.27580246,5.30E-13
01e466dfcfb169abbde928fe056551ab,95.618,GCA_001941625.1,3,7.12085,7120850,-10.61445068,2.43E-11
01e9ea9f124eeea77fe598d094cbade9,96.016,GCA_001562255.1,1,5.51035,5510350,-11.07842006,8.35E-12
01ec4893f17ff0c0b17c3b69666c5110,97.211,GCA_001402915.1,2,5.03299,5032990,-11.24239139,5.72E-12
01ef368de1be09f317dcb13188cb3377,96.414,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
01ef892eb7a99f9860357c0a0374b53e,96.813,GCA_001557535.2,4,9.05534,9055340,-10.17956349,6.61E-11
01f633461a999d4a496461c4d26a0e48,100,GCA_001011155.1,2,5.11981,5119810,-11.21144232,6.15E-12
01fa04f4eb283e8ba6c326efc22a300c,96.414,GCA_001746835.1,1,4.19928,4199280,-11.57010486,2.69E-12
01fecfbbb003ab576734918d6dbf9458,99.602,GCA_002285475.1,7,4.59898,4598980,-11.405577,3.93E-12
0203e700725c4901573a23f404c2f98f,98.008,GCA_001953055.1,1,3.35758,3357580,-11.97489013,1.06E-12
021235d0858ce61502b0e1d91ee7f264,99.6,GCA_002763595.1,5,2.22237,2222370,-12.72159848,1.90E-13
0219fe9eb43b76a03d42caf47691ad61,97.211,GCA_000013625.1,2,4.11025,4110250,-11.60888234,2.46E-12
021b29498bbe7e0d0146821c4437110a,97.211,GCA_000165485.1,2,10.2608,10260800,-9.953411573,1.11E-10
021c2251cd2207d413290b90b3290966,97.61,GCA_000018005.1,3,8.98204,8982040,-10.1942709,6.39E-11
02216e99220633314c544580e96f58ac,99.203,GCA_003668995.1,9,4.93522,4935220,-11.27788951,5.27E-12
0221e7816ffaa82b84f497313f9879dd,97.211,GCA_001548155.2,3,3.72663,3726630,-11.78618218,1.64E-12
022240ed0c9d9ba3aeff11a1f945e59f,99.203,GCA_001542775.1,3,3.68973,3689730,-11.80418922,1.57E-12
0222e15a6a205edf32a15da5adcc6e1b,98.008,GCA_000695095.2,2,4.71655,4716550,-11.35989816,4.37E-12
0224826c9b22220b79be17c628f9d0f4,98.406,GCA_000284015.1,3,4.87534,4875340,-11.29997955,5.01E-12
02310fbdc8df36bde2d3a85ddcd1b9b6,99.203,GCA_000215705.1,1,4.07019,4070190,-11.62660549,2.36E-12
0233c3018a8589ae19be7e3fd7d9f774,98.008,GCA_002952215.1,1,3.27915,3279150,-12.01766132,9.60E-13
0235d0dba4a96090a70376bf0f4f70c9,99.203,GCA_000220705.2,6,7.13789,7137890,-10.61012562,2.45E-11
02361bca6def3cb3f734ad763609b80c,97.967,GCA_001922385.1,2,4.81924,4819240,-11.32092269,4.78E-12
02382800eb3b492561efa47d0bb5124e,97.61,GCA_003710085.1,3,4.04172,4041720,-11.6393074,2.29E-12
023f0db87a1340e4dd89726d8cca70b3,99.602,GCA_001431725.1,4,4.75749,4757490,-11.34425882,4.53E-12
0240d7c4e95d4d70575ad2dbd4934e7d,96.429,GCA_003516025.1,1,1.00578,1005780,-14.15623752,6.98E-15
0251a053f9492c21499ecaafff657b1c,99.203,GCA_001955695.1,3,5.89564,5895640,-10.95612101,1.11E-11
025486a4b0b4bcb39e59a54069782fdb,95.618,GCA_000522985.1,2,7.47921,7479210,-10.52560114,2.98E-11
0257a63ce8dadf69b0f1b109bbbae50a,96.813,GCA_002119765.1,1,5.97161,5971610,-10.93295235,1.17E-11
0257e0c377f162fc1be8386b488913da,97.619,GCA_000014905.1,2,9.96564,9965640,-10.00622836,9.86E-11
025b4af63d144dcf68cd0f5f22168304,95.618,GCA_001596135.1,3,5.61802,5618020,-11.043403,9.05E-12
0261fa98f2e4e4ec40a827c11021a61f,98.374,GCA_000724485.1,9,3.42521,3425210,-11.93880332,1.15E-12
02642c216b09f07c8ce9ccd98d8260b4,96.813,GCA_000012725.1,1,3.40209,3402090,-11.95105917,1.12E-12
0266b53e789a3e5868af2f56f2d30636,99.203,GCA_003013675.1,5,5.43883,5438830,-11.10206048,7.91E-12
026747ae13e85929793b997cbabac966,98.406,GCA_000764535.1,3,4.0619,4061900,-11.63029489,2.34E-12
026c41ec9779dcd8cda21a5e3e894bd6,99.595,GCA_000961515.1,6,9.05898,9058980,-10.17883625,6.62E-11
02773a19927c9db482563382be39f0a6,99.602,GCA_001562215.1,4,4.54159,4541590,-11.42830031,3.73E-12
02798a1ab0f6a75216fd033f6dffece9,99.602,GCA_000284375.1,2,9.20738,9207380,-10.14943305,7.09E-11
027dc3242906e402f093f53850f65737,95.618,GCA_001602455.1,2,3.38709,3387090,-11.95905526,1.10E-12
0283d4200dc77e151aa4f74aa013c189,99.602,GCA_001509405.1,2,3.62924,3629240,-11.8341013,1.47E-12
0284b09dacfde67ff64c1f098298099d,96.414,GCA_002952215.1,1,3.27915,3279150,-12.01766132,9.60E-13
028b5abe1ebcc2adac3ab1d514272f26,99.602,GCA_002949085.1,2,4.00592,4005920,-11.6554072,2.21E-12
028ba586490724915df5fc82c0a1989d,98.406,GCA_002749615.1,2,4.57726,4577260,-11.41414341,3.85E-12
02926c5c56438a2fc8b427666a25c580,99.602,GCA_002741015.1,4,9.63105,9631050,-10.06802651,8.55E-11
0292af3fdb4eb8cad6d45e00a6a91702,97.619,GCA_003032475.1,6,9.85197,9851970,-10.02698716,9.40E-11
0294a2b91cdc2b5ff7631492ba7a1fea,95.618,GCA_001027285.1,3,12.4894,12489400,-9.597743437,2.52E-10
029bcad03216f4a39a59b497b3a0e17a,95.635,GCA_001889605.1,2,5.32456,5324560,-11.14048448,7.24E-12
02a368197e6b030264c5f45cd1b8f828,96.813,GCA_001596135.1,3,5.61802,5618020,-11.043403,9.05E-12
02a88716ef2677fb6e971378d7493deb,95.618,GCA_000306785.1,3,5.57552,5575520,-11.05714426,8.77E-12
02a940fd407db92222e123a69f6a1e43,99.203,GCA_000019445.1,7,5.77433,5774330,-10.99374333,1.01E-11
02ad6499ed5c3bdb66a999bacd3a9d63,96.414,GCA_003097535.1,3,3.55276,3552760,-11.87264221,1.34E-12
02ad916a8376770b684a74bea6231ab7,97.61,GCA_002257585.1,3,5.30134,5301340,-11.14839309,7.11E-12
02ae420c73ac9111c2ab9672f495fd16,96.016,GCA_002752655.1,3,5.18343,5183430,-11.18909484,6.47E-12
02be962fe27fb5918bcb3f3eca788978,97.211,GCA_000253275.1,3,3.56329,3563290,-11.8672868,1.36E-12
02c42d10c646390febbcc3767a811b45,95.618,GCA_001499655.1,4,3.03037,3030370,-12.16043476,6.91E-13
02c9b7622c2648ed3ac0574f6826102a,96.813,GCA_000255295.1,3,10.0806,10080600,-9.985473407,1.03E-10
02d0d4606e5d4d9812b5e77c73f595f2,95.618,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
02d399601d08afcf30cf7b2361c45164,95.618,GCA_000303155.1,1,2.83387,2833870,-12.28175032,5.23E-13
02d5f1824e0f19b9220fa8aefcfad475,95.618,GCA_900070365.1,3,7.40511,7405110,-10.54361869,2.86E-11
02dfde05c258c0b9a8d6cfaf447ccc91,98.805,GCA_003019815.1,3,7.01524,7015240,-10.64148944,2.28E-11
02e1839138ceaf02c99cfdd1ca2e1c18,97.211,GCA_002105775.1,3,4.26555,4265550,-11.54177068,2.87E-12
02e4bc245d99095e512ab0bff697dfee,96.016,GCA_000972765.1,2,4.001,4001000,-11.65763104,2.20E-12
02ea5ce0719648604c556d0d45e12796,96.032,GCA_000014905.1,2,9.96564,9965640,-10.00622836,9.86E-11
02f4d13ff6fa5cae0aea4152ee8ac2e8,98.406,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
02fdfa994c6d67fa89f71c0622d63dff,96.016,GCA_000389965.1,4,9.22805,9228050,-10.14537525,7.16E-11
0308149cf3371dfd960de848d07d41be,99.602,GCA_000072485.1,4,4.85113,4851130,-11.30898786,4.91E-12
03095ef71205d4ac3a189edd7f944ae2,96.016,GCA_001941945.1,5,5.41246,5412460,-11.11085542,7.75E-12
030a6f445cb706045d6100fd3f10d898,97.61,GCA_003076475.1,6,4.22405,4224050,-11.55946229,2.76E-12
0319d0218bdafc8376aac16abaa6a943,98.805,GCA_000015265.1,2,5.29368,5293680,-11.15100965,7.06E-12
031ae115307aeae71d0a70018313d780,95.618,GCA_000019965.1,1,5.95761,5957610,-10.93719971,1.16E-11
031d2ab6742b55e0c9fb3eea05103dc4,96.016,GCA_001618865.1,1,7.48031,7480310,-10.52533502,2.98E-11
031f620f8e26acf7514b09bcff679deb,96.414,GCA_000014005.1,1,5.65037,5650370,-11.03301297,9.27E-12
0321986ac3ec9e91d13fd28f2770da82,98.008,GCA_002741015.1,4,9.63105,9631050,-10.06802651,8.55E-11
0322727a5751702cb7df887e79df9538,95.618,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
0322ebb9304084cfbda5293b7aa61ae0,99.203,GCA_001663175.1,2,3.09036,3090360,-12.12496219,7.50E-13
032a7b931980d2942922f5c52545b137,98.008,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
032e2e5899f8a931d3576c9365884652,95.618,GCA_001548155.2,3,3.72663,3726630,-11.78618218,1.64E-12
033413b28e0bc708d6a8e6df98527207,95.618,GCA_001263205.1,4,12.1915,12191500,-9.641428571,2.28E-10
0335b2f54585a21027658c940c0abd3d,96.016,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
0337339526d38e8ac9fa4dd75c72547c,98.008,GCA_000695095.2,2,4.71655,4716550,-11.35989816,4.37E-12
0339638bef9dc0ddb15669081fd2a774,96.825,GCA_000018685.1,8,4.84759,4847590,-11.31030883,4.89E-12
033c0b4377aec3d3c8e8e3ea8f599d98,95.618,GCA_001499655.1,4,3.03037,3030370,-12.16043476,6.91E-13
033e0c6cb409318e42ba4d8acf2edff3,99.203,GCA_002752675.1,6,7.53006,7530060,-10.51333985,3.07E-11
0341cbf7a8006e8b877db1d794bd9867,97.61,GCA_000220705.2,6,7.13789,7137890,-10.61012562,2.45E-11
03428246e78742e02d6874a33c67f70e,99.203,GCA_002082015.1,8,3.41243,3412430,-11.9455677,1.13E-12
0343fba4613f183ed53150a217611ab1,96.016,GCA_000024005.1,6,9.12735,9127350,-10.1652304,6.84E-11
0346454077b43a1f5cc770476120cf9d,96.813,GCA_001618865.1,1,7.48031,7480310,-10.52533502,2.98E-11
034d1c12a18d4396f1e24ca5cfe96f6f,97.222,GCA_000196675.1,3,7.30399,7303990,-10.56849929,2.70E-11
034fdd094b24b6225635f520e274b38d,97.61,GCA_000025705.1,2,3.00366,3003660,-12.17645512,6.66E-13
03548c737cb2ccd946e6ffcfe2226ac5,97.211,GCA_000284015.1,3,4.87534,4875340,-11.29997955,5.01E-12
035bd49f92a681453ed44c30f152ecb9,97.211,GCA_003612775.1,3,7.22847,7228470,-10.58730674,2.59E-11
035d33b2edd9271e4a6d47d2a8091d37,97.61,GCA_000008485.1,3,3.39775,3397750,-11.95336908,1.11E-12
035fbe3e38de24e13651f25af321e6a8,95.951,GCA_003100395.1,4,4.25631,4256310,-11.54569479,2.85E-12
0361f257204d5d2c36d1d4a0a57f6398,95.618,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
036d5817ed0e64fa8038dd3d800fd64c,96.414,GCA_000306785.1,3,5.57552,5575520,-11.05714426,8.77E-12
037388306aa19d874005e991c6dbe6f6,96.813,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
037b4250aaf1f0ef847727d682678720,98.805,GCA_000010605.1,6,8.54593,8545930,-10.28433612,5.20E-11
037ca14690924ddc98c90b7c3e5119e3,96.813,GCA_001579845.1,1,8.19389,8193890,-10.36045779,4.36E-11
037f470b16f7f469c4fbd3690cd73f7c,95.618,GCA_002950945.1,4,14.5576,14557600,-9.320459241,4.78E-10
038c3d70b836e7ba54a0fe3d73bf100f,98.805,GCA_002285795.1,3,6.68973,6689730,-10.72746421,1.87E-11
038c6c08fb873f2dc6261785c48ed5b9,98.008,GCA_000253295.1,1,4.75753,4757530,-11.3442436,4.53E-12
038d90baae845d0a4ad4114626681f6f,98.805,GCA_000494755.1,3,9.37607,9376070,-10.11657983,7.65E-11
0399d3b8bd2debcea26da39bc76fe78f,95.618,GCA_000025265.1,1,6.35937,6359370,-10.81910794,1.52E-11
039a26b8fe04c6994d2bf1934e852129,98.805,GCA_001402915.1,2,5.03299,5032990,-11.24239139,5.72E-12
03a063e70258746ff950a9b97a02e448,99.602,GCA_002355555.1,8,4.5853,4585300,-11.41096769,3.88E-12
03a2fce65f6102959fd64de8de7af574,99.206,GCA_000402035.1,5,6.96449,6964490,-10.65462784,2.21E-11
03a59386f5c6c606cfb21b724d4d5083,96.016,GCA_000017265.1,1,4.37923,4379230,-11.49417602,3.20E-12
03ac0abc165477a3e3d40e29f99b3f9c,98.805,GCA_003612775.1,3,7.22847,7228470,-10.58730674,2.59E-11
03b930c35a3e9cc8c1534f433956fef8,96.414,GCA_001027285.1,3,12.4894,12489400,-9.597743437,2.52E-10
03bd358cbc89758c0b543a2fa73f39a7,97.61,GCA_001465795.2,9,3.50501,3505010,-11.89712808,1.27E-12
03bfa0ff65897e7897464504cb267e5b,97.61,GCA_000306785.1,3,5.57552,5575520,-11.05714426,8.77E-12
03caf735d20b849f14633501ef194be2,98.008,GCA_002355855.1,2,4.54757,4547570,-11.4259192,3.75E-12
03cce45a12b0459fe8d079955099a3c8,98.406,GCA_002285795.1,3,6.68973,6689730,-10.72746421,1.87E-11
03cea892ba45b3d0c9cc761acadf258f,96.016,GCA_000023245.1,5,8.24814,8248140,-10.34851657,4.48E-11
03d053f7693f28b83bb36b3271e8c9a9,96.414,GCA_000015265.1,2,5.29368,5293680,-11.15100965,7.06E-12
03d0f54b90ee0232c5971768e81a290b,99.203,GCA_900478415.1,5,2.21667,2216670,-12.72624565,1.88E-13
03dbbeaef815f1f43c69c4132e09a8d6,97.61,GCA_000143225.1,3,5.51389,5513890,-11.07725793,8.37E-12
03de1def8db02d6a0dfae98e5b1db75d,96.016,GCA_000255295.1,3,10.0806,10080600,-9.985473407,1.03E-10
03e8954ee989984019f9bd2262d2ac96,98.406,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
03ed5cd6cee8b99c04b87302634af794,100,GCA_000011045.1,5,3.00505,3005050,-12.17561791,6.67E-13
03f42f0abb7cb9f361ada93bf13bcff0,98.805,GCA_000023245.1,5,8.24814,8248140,-10.34851657,4.48E-11
03f5509f801971d77c1257d908582b7c,97.619,GCA_000021865.1,4,3.87192,3871920,-11.71697344,1.92E-12
03f95b4831ec7119a23250911b0464e3,98.805,GCA_000347675.2,2,4.63361,4633610,-11.39200218,4.06E-12
03faa747d0b9bcf725a6d2824017e57a,95.618,GCA_000016425.1,3,5.18333,5183330,-11.18912975,6.47E-12
03fe2734c9bc5160a3381ea2b38870f9,96.414,GCA_000284295.1,6,8.77347,8773470,-10.23678585,5.80E-11
040497bc52e66a7e1572ea55864adaff,98.805,GCA_003667825.1,19,5.23062,5230620,-11.17269512,6.72E-12
04057e7db844b2dbc7af18c8fe9124fc,100,GCA_000523235.1,3,8.34853,8348530,-10.32662495,4.71E-11
04067a704ea1a40b7bac9fb496b1f157,96.016,GCA_003612775.1,3,7.22847,7228470,-10.58730674,2.59E-11
041092cae568a266fabd8995fa406493,95.618,GCA_001021935.1,2,4.56114,4561140,-11.42052749,3.80E-12
0416812cdbbb42604f32291d45924ecb,98.406,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
0419ea4b23bc9df40a4d7c517188d1b3,98.008,GCA_002741015.1,4,9.63105,9631050,-10.06802651,8.55E-11
